,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
11,8652.0,124703.7,1.0,5.757551,1.000001,3.65119e-06,2.819265e-05,0.0002275142,116310.0,594470.0,102.98,50906.0
0,8641.0,121412.7,1.0,5.764581,1.000002,8.962539e-07,-2.670437e-07,-0.0003060082,116310.0,594460.0,103.49,53872.0
1,8642.0,121911.4,1.0,5.765027,1.000002,1.138825e-06,-3.90276e-07,-0.000377282,116310.0,594460.0,103.49,53872.0
2,8643.0,122195.8,1.0,5.765463,1.000002,1.246987e-06,-4.627931e-07,-0.0003914423,116310.0,594460.0,103.49,53872.0
3,8644.0,122426.0,1.0,5.76589,1.000002,1.298818e-06,-4.383453e-07,-0.0004016238,116310.0,594460.0,103.49,53872.0
4,8645.0,122490.9,1.0,5.766311,1.000002,1.291115e-06,-4.538868e-07,-0.0003829082,116310.0,594460.0,103.49,53872.0
5,8646.0,122395.7,1.0,5.766726,1.000002,1.24041e-06,-5.631887e-07,-0.0003312264,116310.0,594460.0,103.49,53872.0
6,8647.0,122122.6,1.0,5.767138,1.000002,1.119701e-06,-6.50298e-07,-0.0002619232,116310.0,594460.0,103.49,53872.0
7,8648.0,121769.2,1.0,5.767549,1.000002,9.642092e-07,-6.946101e-07,-0.0001953785,116310.0,594460.0,103.49,53872.0
8,8649.0,121207.5,1.0,5.767963,1.000001,7.620004e-07,-8.595214e-07,-7.940527e-05,116310.0,594460.0,103.49,53872.0
9,8650.0,120855.8,1.0,5.768376,1.000001,5.865988e-07,-7.588113e-07,-3.84431e-05,116310.0,594460.0,103.49,53872.0
10,8651.0,120239.2,1.0,5.768825,1.000001,4.260747e-07,-9.730903e-07,7.118679e-05,116310.0,594460.0,103.49,53872.0
11,8652.0,119703.8,1.0,5.769306,1.000001,2.269081e-07,-9.539632e-07,0.0001415958,116310.0,594460.0,103.49,53872.0
0,8641.0,121539.2,1.0,5.728409,1.000001,-0.0001062767,9.371658e-05,-0.001945169,116310.0,594470.0,103.529,10329.0
1,8642.0,122156.5,1.0,5.72804,1.000001,-0.0001313142,0.0001162899,-0.002395964,116310.0,594470.0,103.529,10329.0
2,8643.0,122464.3,1.0,5.727346,1.000001,-0.0001361698,0.000120839,-0.002485519,116310.0,594470.0,103.529,10329.0
3,8644.0,122711.0,1.0,5.726277,1.000001,-0.000139853,0.0001247662,-0.00255009,116310.0,594470.0,103.529,10329.0
4,8645.0,122744.8,1.0,5.724899,1.000001,-0.0001331554,0.0001189159,-0.002431615,116310.0,594470.0,103.529,10329.0
5,8646.0,122563.8,1.0,5.723363,1.000001,-0.0001147,0.0001020399,-0.002103292,116310.0,594470.0,103.529,10329.0
6,8647.0,122175.7,1.0,5.721885,1.000001,-9.007367e-05,7.947013e-05,-0.001663546,116310.0,594470.0,103.529,10329.0
7,8648.0,121711.9,1.0,5.720516,1.000001,-6.651053e-05,5.782802e-05,-0.001241286,116310.0,594470.0,103.529,10329.0
8,8649.0,120957.6,1.0,5.719202,1.000001,-2.550091e-05,2.034684e-05,-0.0005042198,116310.0,594470.0,103.529,10329.0
9,8650.0,120537.8,1.0,5.717956,1.0,-1.12443e-05,7.526567e-06,-0.0002449031,116310.0,594470.0,103.529,10329.0
10,8651.0,119739.5,1.0,5.716697,1.0,2.772896e-05,-2.831744e-05,0.0004521423,116310.0,594470.0,103.529,10329.0
11,8652.0,119087.1,1.0,5.71541,0.9999998,5.237447e-05,-5.046415e-05,0.0008996794,116310.0,594470.0,103.529,10329.0
0,8641.0,122006.5,1.0,5.721901,1.000001,-8.48099e-05,-9.305121e-05,-0.0006011591,116310.0,594470.0,103.48,10041.0
1,8642.0,122622.3,1.0,5.721712,1.000002,-0.0001050487,-0.0001150078,-0.0007443675,116310.0,594470.0,103.48,10041.0
2,8643.0,122929.8,1.0,5.721309,1.000002,-0.0001091748,-0.0001195059,-0.0007736707,116310.0,594470.0,103.48,10041.0
3,8644.0,123178.2,1.0,5.720663,1.000002,-0.0001122031,-0.0001226155,-0.0007951033,116310.0,594470.0,103.48,10041.0
4,8645.0,123212.3,1.0,5.719797,1.000002,-0.0001070023,-0.0001169981,-0.0007583889,116310.0,594470.0,103.48,10041.0
